symbol,month,average_price
AAPL,JAN,230.40
AAPL,FEB,238.82
AAPL,MAR,222.70
AAPL,APR,200.99
AAPL,MAY,203.55
AAPL,JUN,200.46
AAPL,JUL,211.28
AAPL,AUG,224.65
AAPL,SEP,242.02
AAPL,OCT,258.30
AAPL,NOV,271.95
AAPL,DEC,276.20
AAPL,JAN,261.67
GOOG,JAN,199.49
GOOG,FEB,186.16
GOOG,MAR,167.35
GOOG,APR,156.56
GOOG,MAY,165.93
GOOG,JUN,173.70
GOOG,JUL,185.92
GOOG,AUG,202.88
GOOG,SEP,241.62
GOOG,OCT,254.90
GOOG,NOV,294.69
GOOG,DEC,313.62
GOOG,JAN,325.99
MSFT,JAN,434.86
MSFT,FEB,408.11
MSFT,MAR,387.65
MSFT,APR,377.76
MSFT,MAY,448.23
MSFT,JUN,478.63
MSFT,JUL,506.29
MSFT,AUG,516.33
MSFT,SEP,507.90
MSFT,OCT,521.20
MSFT,NOV,496.23
MSFT,DEC,484.04
MSFT,JAN,471.72
NVDA,JAN,133.13
NVDA,FEB,130.78
NVDA,MAR,114.92
NVDA,APR,105.29
NVDA,MAY,127.49
NVDA,JUN,145.68
NVDA,JUL,168.06
NVDA,AUG,179.41
NVDA,SEP,175.67
NVDA,OCT,188.25
NVDA,NOV,187.60
NVDA,DEC,182.61
NVDA,JAN,186.39
SPX,JAN,6058.32
SPX,FEB,6042.49
SPX,MAR,5683.98
SPX,APR,5365.55
SPX,MAY,5810.55
SPX,JUN,6027.61
SPX,JUL,6296.50
SPX,AUG,6408.95
SPX,SEP,6578.39
SPX,OCT,6735.69
SPX,NOV,6744.47
SPX,DEC,6856.46
SPX,JAN,6927.05
